Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
56,tt0057012,2019-09-04,2019-09-04,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,425811,1964-01-29,Stanley Kubrick
57,tt0056801,2019-09-04,2019-09-04,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101618,1963-02-13,Federico Fellini
58,tt0056592,2019-09-04,2019-09-04,,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",279418,1962-12-20,Robert Mulligan
59,tt0055614,2019-09-04,2019-09-04,,West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.5,153,1961,"Crime, Drama, Musical, Romance",90385,1961-10-18,"Jerome Robbins, Robert Wise"
60,tt0054215,2019-09-04,2019-09-04,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",558556,1960-06-16,Alfred Hitchcock
61,tt0052618,2019-09-04,2019-09-04,,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",206635,1959-11-18,William Wyler
62,tt0052357,2019-09-04,2019-09-04,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",333087,1958-05-09,Alfred Hitchcock
63,tt0050976,2019-09-04,2019-09-04,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",148791,1957-02-16,Ingmar Bergman
64,tt0049730,2019-09-04,2019-09-04,,The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.9,119,1956,"Adventure, Drama, Western",75103,1956-05-16,John Ford
65,tt0048545,2019-09-04,2019-09-04,,Rebel Without a Cause,https://www.imdb.com/title/tt0048545/,movie,7.7,111,1955,Drama,78228,1955-10-26,Nicholas Ray
66,tt0047478,2019-09-04,2019-09-04,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",293972,1954-04-26,Akira Kurosawa
67,tt0046438,2019-09-04,2019-09-04,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,46122,1953-11-03,Yasujirô Ozu
68,tt0045152,2019-09-04,2019-09-04,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",203775,1952-03-27,"Gene Kelly, Stanley Donen"
69,tt0044081,2019-09-04,2019-09-04,,A Streetcar Named Desire,https://www.imdb.com/title/tt0044081/,movie,8.0,122,1951,Drama,93664,1951-09-09,Elia Kazan
70,tt0043014,2019-09-04,2019-09-04,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",185875,1950-08-10,Billy Wilder
71,tt0041959,2019-09-04,2019-09-04,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",149369,1949-05-31,Carol Reed
72,tt0040522,2019-09-04,2019-09-04,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,133184,1948-11-24,Vittorio De Sica
73,tt0039689,2019-09-04,2019-09-04,,Out of the Past,https://www.imdb.com/title/tt0039689/,movie,8.0,97,1947,"Crime, Drama, Film-Noir, Romance, Thriller",30045,1947-11-25,Jacques Tourneur
74,tt0038650,2019-09-04,2019-09-04,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",371411,1946-12-20,Frank Capra
75,tt0037558,2019-09-04,2019-09-04,,Brief Encounter,https://www.imdb.com/title/tt0037558/,movie,8.0,86,1945,"Drama, Romance",32789,1945-11-19,David Lean
76,tt0036775,2019-09-04,2019-09-04,,Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",132726,1944-07-03,Billy Wilder
